step,date,action,balance,shares_held,price,total_asset,reward
309,2024-09-25,0,1004.6185688362121,0,20.46648979187012,1004.6185688362121,[0.]
310,2024-09-26,2,1004.6185688362121,0,20.772994995117188,1004.6185688362121,[0.]
311,2024-09-27,0,1004.6185688362121,0,20.00179100036621,1004.6185688362121,[0.]
312,2024-09-30,2,1004.6185688362121,0,19.665626525878903,1004.6185688362121,[0.]
313,2024-10-01,2,1004.6185688362121,0,20.071001052856445,1004.6185688362121,[0.]
314,2024-10-02,2,1004.6185688362121,0,19.952356338500977,1004.6185688362121,[0.]
315,2024-10-03,2,1004.6185688362121,0,19.62607955932617,1004.6185688362121,[0.]
316,2024-10-04,2,1004.6185688362121,0,19.883146286010746,1004.6185688362121,[0.]
317,2024-10-07,2,1004.6185688362121,0,19.65574073791504,1004.6185688362121,[0.]
318,2024-10-08,2,1004.6185688362121,0,19.438220977783203,1004.6185688362121,[0.]
319,2024-10-09,2,1004.6185688362121,0,19.438220977783203,1004.6185688362121,[0.]
320,2024-10-10,2,1004.6185688362121,0,19.84359741210937,1004.6185688362121,[0.]
321,2024-10-11,2,1004.6185688362121,0,19.76449966430664,1004.6185688362121,[0.]
322,2024-10-14,2,1004.6185688362121,0,19.75461196899414,1004.6185688362121,[0.]
323,2024-10-15,2,1004.6185688362121,0,19.98201560974121,1004.6185688362121,[0.]
324,2024-10-16,2,1004.6185688362121,0,19.715065002441406,1004.6185688362121,[0.]
325,2024-10-17,2,1004.6185688362121,0,20.110551834106445,1004.6185688362121,[0.]
326,2024-10-18,2,1004.6185688362121,0,20.68400955200196,1004.6185688362121,[0.]
327,2024-10-21,2,1004.6185688362121,0,20.62468719482422,1004.6185688362121,[0.]
328,2024-10-22,2,1004.6185688362121,0,20.95096206665039,1004.6185688362121,[0.]
329,2024-10-23,2,1004.6185688362121,0,20.56536102294922,1004.6185688362121,[0.]
330,2024-10-24,2,1004.6185688362121,0,20.090776443481445,1004.6185688362121,[0.]
331,2024-10-25,2,1004.6185688362121,0,19.38878631591797,1004.6185688362121,[0.]
